epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,125.408,0.39782,0.38824,0.00981,0.97427,0.96761,0.98864,0.97802,0.25367,0.17936,0.01058,0.000566027,0.000566027,0.000566027
63,127.345,0.41689,0.41764,0.00973,0.95796,0.97042,0.99115,0.96315,0.3319,0.42892,0.01416,0.00055188,0.00055188,0.00055188
64,129.296,0.42505,0.41532,0.01089,0.99674,0.92267,0.99417,0.97919,0.23395,0.14735,0.00955,0.000537733,0.000537733,0.000537733
65,131.223,0.47628,0.42184,0.01234,0.9718,0.89965,0.98478,0.91385,0.41365,0.22019,0.01742,0.000523586,0.000523586,0.000523586
66,133.145,0.45979,0.41085,0.01117,0.99495,0.96163,0.9929,0.97985,0.22274,0.12382,0.00901,0.000509438,0.000509438,0.000509438
67,135.048,0.41427,0.36263,0.01053,0.97116,0.96727,0.99164,0.9871,0.19992,0.13736,0.00825,0.000495291,0.000495291,0.000495291
68,136.946,0.38087,0.36071,0.00928,0.99574,0.943,0.98949,0.95742,0.34371,0.16365,0.01448,0.000481144,0.000481144,0.000481144
69,138.819,0.41603,0.37052,0.00988,0.99953,0.98045,0.99357,0.9505,0.37137,0.1564,0.0155,0.000466997,0.000466997,0.000466997
70,140.734,0.37813,0.36202,0.00935,0.95997,0.9815,0.99295,0.9849,0.27073,0.15692,0.0115,0.00045285,0.00045285,0.00045285
71,142.607,0.38406,0.38079,0.00942,0.94749,1,0.99265,0.98775,0.27007,0.21651,0.01144,0.000438703,0.000438703,0.000438703
72,144.556,0.39505,0.35208,0.01033,0.99666,0.97703,0.99273,0.97948,0.30686,0.13819,0.01321,0.000424556,0.000424556,0.000424556
73,146.471,0.33603,0.36656,0.0084,0.98268,0.98021,0.99417,0.98792,0.26856,0.11289,0.0113,0.000410409,0.000410409,0.000410409
74,148.416,0.35839,0.38191,0.00869,0.9775,0.97135,0.9922,0.98874,0.24477,0.21229,0.01037,0.000396262,0.000396262,0.000396262
75,150.354,0.34735,0.33186,0.00835,0.95414,1,0.99397,0.98811,0.26228,0.19432,0.01123,0.000382115,0.000382115,0.000382115
76,152.299,0.3707,0.36663,0.00938,0.95838,0.99613,0.99439,0.97796,0.30161,0.13153,0.01258,0.000367967,0.000367967,0.000367967
77,154.295,0.3613,0.33669,0.00891,0.99194,0.97931,0.99316,0.98835,0.24447,0.13006,0.01054,0.00035382,0.00035382,0.00035382
78,156.166,0.38612,0.35784,0.00938,0.95951,0.97824,0.99174,0.98695,0.25586,0.27396,0.01093,0.000339673,0.000339673,0.000339673
79,158.107,0.39336,0.3531,0.01013,0.97996,0.99178,0.995,0.99021,0.23536,0.11871,0.00992,0.000325526,0.000325526,0.000325526
80,160.031,0.34529,0.33094,0.00857,0.98748,0.99733,0.995,0.98974,0.25777,0.11619,0.01099,0.000311379,0.000311379,0.000311379
81,161.907,0.38197,0.34009,0.00906,0.98768,0.98844,0.995,0.97568,0.33982,0.13873,0.01423,0.000297232,0.000297232,0.000297232
82,163.763,0.35287,0.34388,0.00904,0.9841,0.96197,0.99242,0.98775,0.25776,0.15048,0.01099,0.000283085,0.000283085,0.000283085
83,165.652,0.39631,0.4248,0.01105,0.96791,0.97237,0.99417,0.96916,0.35377,0.25868,0.01502,0.000268938,0.000268938,0.000268938
84,167.56,0.37147,0.35404,0.00954,0.96717,0.98413,0.99384,0.97953,0.28758,0.21007,0.01229,0.000254791,0.000254791,0.000254791
85,169.447,0.34884,0.32619,0.0091,0.97788,0.97808,0.99231,0.97448,0.29498,0.31474,0.01276,0.000240644,0.000240644,0.000240644
86,171.325,0.34397,0.35716,0.00866,0.96526,0.96505,0.99285,0.97402,0.29977,0.2936,0.01281,0.000226497,0.000226497,0.000226497
87,173.281,0.33682,0.32107,0.0084,0.99194,0.98191,0.99401,0.98967,0.21962,0.10943,0.00912,0.000212349,0.000212349,0.000212349
88,175.201,0.36789,0.32623,0.00959,0.99206,0.98606,0.99357,0.98733,0.24989,0.11921,0.01058,0.000198202,0.000198202,0.000198202
89,177.095,0.36034,0.36117,0.00916,0.97473,0.99312,0.99449,0.98479,0.29741,0.13568,0.01251,0.000184055,0.000184055,0.000184055
90,179,0.36034,0.34627,0.00887,0.98686,0.97713,0.99401,0.98894,0.24162,0.11814,0.01015,0.000169908,0.000169908,0.000169908
91,181.536,0.23268,0.31684,0.00941,0.97496,0.97799,0.99401,0.98293,0.29804,0.13394,0.01246,0.000155761,0.000155761,0.000155761
92,183.53,0.26541,0.34452,0.01131,0.98541,0.97582,0.99449,0.98046,0.30492,0.12912,0.01276,0.000141614,0.000141614,0.000141614
93,185.463,0.30289,0.46936,0.01294,0.97872,0.98769,0.995,0.96875,0.32697,0.1317,0.01373,0.000127467,0.000127467,0.000127467
94,187.455,0.24099,0.33748,0.01008,0.95458,1,0.995,0.99345,0.15707,0.10027,0.00641,0.00011332,0.00011332,0.00011332
95,189.482,0.23924,0.33527,0.01015,0.99264,0.94553,0.99388,0.98592,0.22803,0.15161,0.00935,9.91726e-05,9.91726e-05,9.91726e-05
96,191.444,0.23721,0.35138,0.01025,0.98734,0.9012,0.98665,0.97546,0.25312,0.36415,0.01064,8.50255e-05,8.50255e-05,8.50255e-05
97,193.337,0.20286,0.30942,0.00807,0.95797,0.97052,0.9917,0.97652,0.28843,0.22117,0.01212,7.08784e-05,7.08784e-05,7.08784e-05
98,195.215,0.20484,0.30623,0.00831,0.99077,0.97698,0.995,0.97934,0.26669,0.16912,0.01124,5.67313e-05,5.67313e-05,5.67313e-05
99,197.125,0.18497,0.29892,0.00734,0.97502,0.9788,0.99439,0.99113,0.19883,0.14199,0.00838,4.25842e-05,4.25842e-05,4.25842e-05
100,199.052,0.19145,0.30041,0.00754,0.99601,0.97562,0.995,0.99163,0.2043,0.12895,0.00849,2.84371e-05,2.84371e-05,2.84371e-05
